GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,com.xmu.service.util,CloneFactory,132,117,26,10,34,33,23,5,5,5
service,com.xmu.service.util,ServiceOrderHandlerFactory,34,0,2,0,9,0,3,0,2,0
service,com.xmu.service.controller,ShopServiceController,0,24,0,0,0,5,0,3,0,3
service,com.xmu.service.mapper.po,ServicePackagePo,4,17,0,0,2,7,1,5,1,5
service,com.xmu.service.mapper.po,ServiceContractPo,4,52,0,0,2,22,1,15,1,15
service,com.xmu.service.mapper.po,ServiceOrderPo,71,34,0,0,31,14,20,10,20,10
service,com.xmu.service.mapper.po,ServiceProviderPo,42,0,0,0,18,0,12,0,12,0
service,com.xmu.service.mapper.po,ProductItemPo,21,0,0,0,9,0,6,0,6,0
service,com.xmu.service.mapper.po,ServicePo,26,16,0,0,12,6,7,5,7,5
service,com.xmu.service.dao.bo,ServiceProdOrder,0,4,0,0,0,1,0,1,0,1
service,com.xmu.service.dao.bo,OnsiteRepairHandler,0,32,0,2,0,8,0,3,0,2
service,com.xmu.service.dao.bo,MailRepairHandler,0,67,3,5,0,18,3,3,0,2
service,com.xmu.service.dao.bo,ServiceBo,0,48,0,0,0,14,0,2,0,2
service,com.xmu.service.dao,ServiceOrderDao,0,34,0,2,0,9,0,4,0,3
service,com.xmu.service.dao,OrderDao,0,20,0,0,0,6,0,3,0,3
service,com.xmu.service.dao,ServiceProviderDao,7,0,0,0,2,0,2,0,2,0
service,com.xmu.service.dao,ServiceDao,0,31,0,2,0,8,0,3,0,2
service,com.xmu.service.dao,ServicePackageDao,0,47,0,2,0,14,0,5,0,4
service,com.xmu.service.dao,ServiceContractDao,0,20,0,0,0,6,0,3,0,3
service,com.xmu.service,ServiceApplication,5,3,0,0,2,1,1,1,1,1
service,com.xmu.service.service,ServiceService,0,17,0,0,0,4,0,2,0,2
service,com.xmu.service.service,ServiceOrderService,0,21,0,0,0,6,0,2,0,2
